symbol,stock_name,sector,tier,total_trades,wins,losses,targets_hit,stops_hit,eod_exits,win_rate_pct,avg_gross_pnl,avg_net_pnl,total_gross_pnl,total_net_pnl,avg_win_pct,avg_loss_pct,profit_factor,max_drawdown_pct,avg_gap_pct,avg_fri_rsi,regime_stats
ADANIPORTS,Adani Ports,Infrastructure,large,101,35,66,74,17,10,34.65,-0.7894,-0.8394,-79.73,-84.78,0.8593,-1.6636,0.274,-80.4688,-1.5153,49.71,"{""bear"": {""trades"": 10, ""win_rate"": 50.0, ""avg_gross"": -0.179}, ""bull"": {""trades"": 38, ""win_rate"": 26.3, ""avg_gross"": -0.851}, ""sideways"": {""trades"": 53, ""win_rate"": 37.7, ""avg_gross"": -0.861}}"
ASIANPAINT,Asian Paints,Consumer,large,80,12,68,52,24,4,15.0,-0.8426,-0.8926,-67.41,-71.41,0.7625,-1.1259,0.12,-64.9636,-1.1565,49.62,"{""bear"": {""trades"": 13, ""win_rate"": 23.1, ""avg_gross"": -0.159}, ""bull"": {""trades"": 27, ""win_rate"": 7.4, ""avg_gross"": -0.852}, ""sideways"": {""trades"": 40, ""win_rate"": 17.5, ""avg_gross"": -1.059}}"
AXISBANK,Axis Bank,Banking,large,114,39,75,86,22,6,34.21,-0.5088,-0.5588,-58.01,-63.71,0.8024,-1.1907,0.35,-58.7008,-1.2061,47.48,"{""bear"": {""trades"": 16, ""win_rate"": 37.5, ""avg_gross"": -0.047}, ""bull"": {""trades"": 39, ""win_rate"": 38.5, ""avg_gross"": -0.621}, ""sideways"": {""trades"": 59, ""win_rate"": 30.5, ""avg_gross"": -0.56}}"
BAJAJ-AUTO,Bajaj Auto,Auto,large,73,20,53,50,19,4,27.4,-0.7835,-0.8335,-57.2,-60.85,0.2827,-1.1859,0.09,-57.8033,-1.0469,46.41,"{""bear"": {""trades"": 10, ""win_rate"": 20.0, ""avg_gross"": -1.313}, ""bull"": {""trades"": 31, ""win_rate"": 32.3, ""avg_gross"": -0.67}, ""sideways"": {""trades"": 31, ""win_rate"": 25.8, ""avg_gross"": -0.7}, ""unknown"": {""trades"": 1, ""win_rate"": 0.0, ""avg_gross"": -1.611}}"
BAJFINANCE,Bajaj Finance,NBFC,large,85,19,66,51,22,12,22.35,-0.9494,-0.9994,-80.7,-84.95,0.7301,-1.4329,0.147,-80.5266,-1.4032,47.57,"{""bear"": {""trades"": 13, ""win_rate"": 23.1, ""avg_gross"": -0.66}, ""bull"": {""trades"": 34, ""win_rate"": 32.4, ""avg_gross"": -0.721}, ""sideways"": {""trades"": 38, ""win_rate"": 13.2, ""avg_gross"": -1.253}}"
BAJAJFINSV,Bajaj Finserv,NBFC,large,82,19,63,55,21,6,23.17,-0.8364,-0.8864,-68.58,-72.68,0.4027,-1.2101,0.1,-69.346,-1.1661,49.67,"{""bear"": {""trades"": 10, ""win_rate"": 50.0, ""avg_gross"": -0.177}, ""bull"": {""trades"": 29, ""win_rate"": 20.7, ""avg_gross"": -0.727}, ""sideways"": {""trades"": 43, ""win_rate"": 18.6, ""avg_gross"": -1.063}}"
BPCL,BPCL,Oil & Gas,large,76,29,47,55,20,1,38.16,-0.5641,-0.6141,-42.87,-46.67,0.6076,-1.2871,0.291,-41.7533,-0.9868,49.44,"{""bear"": {""trades"": 7, ""win_rate"": 14.3, ""avg_gross"": -1.212}, ""bull"": {""trades"": 27, ""win_rate"": 44.4, ""avg_gross"": -0.196}, ""sideways"": {""trades"": 42, ""win_rate"": 38.1, ""avg_gross"": -0.693}}"
BHARTIARTL,Bharti Airtel,Telecom,large,102,34,68,66,29,7,33.33,-0.5718,-0.6218,-58.33,-63.43,0.5285,-1.122,0.236,-58.0714,-0.8893,46.96,"{""bear"": {""trades"": 11, ""win_rate"": 27.3, ""avg_gross"": -0.653}, ""bull"": {""trades"": 42, ""win_rate"": 40.5, ""avg_gross"": -0.503}, ""sideways"": {""trades"": 48, ""win_rate"": 29.2, ""avg_gross"": -0.61}, ""unknown"": {""trades"": 1, ""win_rate"": 0.0, ""avg_gross"": -0.726}}"
BRITANNIA,Britannia,FMCG,large,71,25,46,43,23,5,35.21,-0.391,-0.441,-27.76,-31.31,0.6971,-0.9823,0.386,-29.0722,-0.8614,50.79,"{""bear"": {""trades"": 10, ""win_rate"": 30.0, ""avg_gross"": -0.37}, ""bull"": {""trades"": 28, ""win_rate"": 35.7, ""avg_gross"": -0.194}, ""sideways"": {""trades"": 33, ""win_rate"": 36.4, ""avg_gross"": -0.564}}"
CIPLA,Cipla,Pharma,large,59,18,41,37,17,5,30.51,-0.5522,-0.6022,-32.58,-35.53,0.4487,-0.9917,0.199,-35.3522,-0.9307,47.86,"{""bear"": {""trades"": 8, ""win_rate"": 62.5, ""avg_gross"": 0.075}, ""bull"": {""trades"": 16, ""win_rate"": 25.0, ""avg_gross"": -0.626}, ""sideways"": {""trades"": 35, ""win_rate"": 25.7, ""avg_gross"": -0.662}}"
COALINDIA,Coal India,Metals & Mining,large,67,24,43,53,10,4,35.82,-0.7745,-0.8245,-51.89,-55.24,0.9053,-1.712,0.295,-31.2463,-1.4991,48.48,"{""bear"": {""trades"": 9, ""win_rate"": 44.4, ""avg_gross"": 0.173}, ""bull"": {""trades"": 22, ""win_rate"": 27.3, ""avg_gross"": -1.574}, ""sideways"": {""trades"": 36, ""win_rate"": 38.9, ""avg_gross"": -0.523}}"
DIVISLAB,Divi's Labs,Pharma,large,66,18,48,41,14,11,27.27,-0.8485,-0.8985,-56.0,-59.3,0.8865,-1.4991,0.222,-55.5846,-1.2843,48.86,"{""bear"": {""trades"": 5, ""win_rate"": 40.0, ""avg_gross"": -0.636}, ""bull"": {""trades"": 27, ""win_rate"": 29.6, ""avg_gross"": -0.767}, ""sideways"": {""trades"": 34, ""win_rate"": 23.5, ""avg_gross"": -0.944}}"
DRREDDY,Dr Reddy,Pharma,large,69,20,49,46,18,5,28.99,-0.747,-0.797,-51.54,-54.99,0.4249,-1.2253,0.142,-51.6051,-1.0877,50.58,"{""bear"": {""trades"": 7, ""win_rate"": 42.9, ""avg_gross"": -0.614}, ""bull"": {""trades"": 28, ""win_rate"": 28.6, ""avg_gross"": -0.888}, ""sideways"": {""trades"": 34, ""win_rate"": 26.5, ""avg_gross"": -0.658}}"
EICHERMOT,Eicher Motors,Auto,large,85,27,58,55,25,5,31.76,-0.9159,-0.9659,-77.85,-82.1,0.4366,-1.5455,0.132,-77.1159,-1.1343,51.53,"{""bear"": {""trades"": 11, ""win_rate"": 18.2, ""avg_gross"": -2.158}, ""bull"": {""trades"": 38, ""win_rate"": 39.5, ""avg_gross"": -0.745}, ""sideways"": {""trades"": 36, ""win_rate"": 27.8, ""avg_gross"": -0.716}}"
GRASIM,Grasim,Cement,large,88,32,56,67,16,5,36.36,-0.4287,-0.4787,-37.73,-42.13,0.588,-1.0097,0.333,-38.2157,-0.9554,47.41,"{""bear"": {""trades"": 9, ""win_rate"": 66.7, ""avg_gross"": 0.267}, ""bull"": {""trades"": 31, ""win_rate"": 38.7, ""avg_gross"": -0.369}, ""sideways"": {""trades"": 48, ""win_rate"": 29.2, ""avg_gross"": -0.598}}"
HCLTECH,HCL Tech,IT,large,73,15,58,41,20,12,20.55,-0.7425,-0.7925,-54.2,-57.85,0.7543,-1.1296,0.173,-55.8442,-1.1914,47.18,"{""bear"": {""trades"": 14, ""win_rate"": 14.3, ""avg_gross"": -0.599}, ""bull"": {""trades"": 28, ""win_rate"": 25.0, ""avg_gross"": -0.573}, ""sideways"": {""trades"": 30, ""win_rate"": 20.0, ""avg_gross"": -0.983}, ""unknown"": {""trades"": 1, ""win_rate"": 0.0, ""avg_gross"": -0.297}}"
