symbol,stock_name,sector,tier,friday_date,monday_date,ref_day_type,ref_day_high,fri_high,fri_low,fri_close,fri_volume_ratio,fri_rsi,fri_above_sma20,mon_open,mon_high,mon_low,mon_close,gap_pct,entry_price,stop_price,target_price,exit_price,exit_type,gross_pnl_pct,net_pnl_pct,is_win,regime,year,month,quarter
ADANIPORTS,Adani Ports,Infrastructure,large,2011-05-20,2011-05-23,thursday,138.77,138.49,129.78,137.06,1.028,54.55,True,135.94,140.16,134.74,138.86,-0.8111,135.94,138.49,129.78,138.49,stop,-1.8739,-1.9239,False,bull,2011,5,Q2
ADANIPORTS,Adani Ports,Infrastructure,large,2011-06-03,2011-06-06,thursday,152.99,150.81,147.48,149.19,0.376,77.09,True,148.68,149.24,147.34,148.08,-0.3415,148.68,150.81,147.48,147.48,target,0.8099,0.7599,True,bull,2011,6,Q2
ADANIPORTS,Adani Ports,Infrastructure,large,2011-07-08,2011-07-11,thursday,153.54,150.63,145.53,146.23,0.377,71.84,True,144.98,146.83,143.59,145.53,-0.8552,144.98,150.63,145.53,145.53,target,-0.3834,-0.4334,False,bull,2011,7,Q3
ADANIPORTS,Adani Ports,Infrastructure,large,2011-08-05,2011-08-08,thursday,134.14,130.62,122.28,129.46,5.075,33.0,False,125.48,130.15,124.13,126.12,-3.0769,125.48,130.62,122.28,126.12,eod,-0.5168,-0.5668,False,bull,2011,8,Q3
ADANIPORTS,Adani Ports,Infrastructure,large,2011-08-19,2011-08-22,thursday,130.39,127.79,122.23,126.26,1.548,39.13,False,125.11,127.75,124.97,126.03,-0.9171,125.11,127.79,122.23,126.03,eod,-0.7405,-0.7905,False,bull,2011,8,Q3
ADANIPORTS,Adani Ports,Infrastructure,large,2011-09-09,2011-09-12,thursday,151.83,150.49,141.78,142.8,0.342,67.22,True,141.92,145.25,139.28,141.13,-0.6163,141.92,150.49,141.78,141.78,target,0.0979,0.0479,True,bear,2011,9,Q3
ADANIPORTS,Adani Ports,Infrastructure,large,2011-12-02,2011-12-05,thursday,122.6,122.28,115.42,120.7,0.328,31.36,False,120.15,120.98,117.05,119.64,-0.4605,120.15,122.28,115.42,119.64,eod,0.4241,0.3741,True,sideways,2011,12,Q4
ADANIPORTS,Adani Ports,Infrastructure,large,2012-03-23,2012-03-26,thursday,123.65,118.78,112.09,114.6,2.224,22.14,False,114.18,114.83,110.52,111.91,-0.3645,114.18,118.78,112.09,112.09,target,1.8293,1.7793,True,sideways,2012,3,Q1
ADANIPORTS,Adani Ports,Infrastructure,large,2012-05-04,2012-05-07,thursday,118.36,116.78,113.72,115.2,1.615,39.42,False,113.9,119.75,112.33,118.55,-1.1281,113.9,116.78,113.72,116.78,stop,-2.5265,-2.5765,False,sideways,2012,5,Q2
ADANIPORTS,Adani Ports,Infrastructure,large,2012-07-06,2012-07-09,thursday,117.43,114.97,112.23,113.81,0.785,73.72,True,113.02,113.21,111.44,112.74,-0.6933,113.02,114.97,112.23,112.23,target,0.6982,0.6482,True,sideways,2012,7,Q3
ADANIPORTS,Adani Ports,Infrastructure,large,2012-08-10,2012-08-13,thursday,119.32,119.09,116.57,118.53,1.123,76.04,True,117.5,118.58,114.65,116.94,-0.8668,117.5,119.09,116.57,116.57,target,0.7949,0.7449,True,sideways,2012,8,Q3
ADANIPORTS,Adani Ports,Infrastructure,large,2012-08-24,2012-08-27,thursday,109.0,105.45,98.68,104.61,1.882,34.71,False,102.74,104.66,99.52,100.88,-1.7857,102.74,105.45,98.68,100.88,eod,1.8182,1.7682,True,bull,2012,8,Q3
ADANIPORTS,Adani Ports,Infrastructure,large,2012-08-31,2012-09-03,thursday,107.79,107.41,103.68,106.25,1.319,30.82,False,104.89,109.28,104.89,108.58,-1.2747,104.89,107.41,103.68,107.41,stop,-2.4043,-2.4543,False,sideways,2012,8,Q3
ADANIPORTS,Adani Ports,Infrastructure,large,2012-10-05,2012-10-08,thursday,123.57,122.5,115.45,119.7,0.609,80.63,True,118.67,119.51,113.35,115.63,-0.8584,118.67,122.5,115.45,115.45,target,2.7155,2.6655,True,bull,2012,10,Q4
ADANIPORTS,Adani Ports,Infrastructure,large,2013-01-04,2013-01-07,thursday,130.77,129.18,125.63,128.43,1.1,52.9,True,127.96,131.93,127.96,130.81,-0.3636,127.96,129.18,125.63,129.18,stop,-0.9489,-0.9989,False,bull,2013,1,Q1
ADANIPORTS,Adani Ports,Infrastructure,large,2013-04-12,2013-04-15,thursday,144.22,143.38,137.07,138.7,0.669,72.36,True,137.58,138.61,133.47,135.81,-0.8081,137.58,143.38,137.07,137.07,target,0.3734,0.3234,True,sideways,2013,4,Q2
